city,city_ascii,lat,lng,pop,country,iso2,iso3,province
Sunyani,Sunyani,7.335998991,-2.336003416,70299,Ghana,GH,GHA,Brong Ahafo
Tamale,Tamale,9.400419738,-0.83998519,342871,Ghana,GH,GHA,Northern
Yendi,Yendi,9.433725198,-0.016650433,30841.5,Ghana,GH,GHA,Northern
Bolgatanga,Bolgatanga,10.79038658,-0.84998458,68303.5,Ghana,GH,GHA,Upper East
Bawku,Bawku,11.06039593,-0.239995973,65212,Ghana,GH,GHA,Upper East
Wa,Wa,10.06040529,-2.500013063,76891.5,Ghana,GH,GHA,Upper West
Obuasi,Obuasi,6.190408955,-1.659986818,158986.5,Ghana,GH,GHA,Ashanti
Berekum,Berekum,7.450383727,-2.59000757,36484.5,Ghana,GH,GHA,Brong Ahafo
Winneba,Winneba,5.350434386,-0.630049684,41911,Ghana,GH,GHA,Central
Cape Coast,Cape Coast,5.11037152,-1.249986004,139265.5,Ghana,GH,GHA,Central
Nkawkaw,Nkawkaw,6.550464497,-0.780014691,54914.5,Ghana,GH,GHA,Eastern
Koforidua,Koforidua,6.090415058,-0.260020591,126459.5,Ghana,GH,GHA,Eastern
Tema,Tema,5.640365009,0.010014606,184969.5,Ghana,GH,GHA,Greater Accra
Ho,Ho,6.600409769,0.46998653,81521,Ghana,GH,GHA,Volta
Kumasi,Kumasi,6.689990864,-1.630014487,1468575.5,Ghana,GH,GHA,Ashanti
Sekondi,Sekondi,4.943275776,-1.704015138,212560,Ghana,GH,GHA,Western
Accra,Accra,5.550034606,-0.21671574,2042132,Ghana,GH,GHA,Greater Accra
Vicente Guerrero,Vicente Guerrero,30.76405113,-116.0092603,7294.5,Mexico,MX,MEX,Baja California
Loreto,Loreto,26.01333335,-111.3516635,10760.5,Mexico,MX,MEX,Baja California Sur
Ciudad Constitucion,Ciudad Constitucion,25.04000775,-111.6599909,37605.5,Mexico,MX,MEX,Baja California Sur
Allende,Allende,28.32998781,-100.8499789,18268.5,Mexico,MX,MEX,Coahuila
Nueva Rosita,Nueva Rosita,27.94995933,-101.2199821,35746.5,Mexico,MX,MEX,Coahuila
Hidalgo del Parral,Hidalgo del Parral,26.93335472,-105.6666358,102573,Mexico,MX,MEX,Chihuahua
Ascension,Ascension,31.10002545,-107.979983,10761,Mexico,MX,MEX,Chihuahua
Gomez Palacio,Gomez Palacio,25.57005292,-103.5000238,313952.5,Mexico,MX,MEX,Durango
Canatlan,Canatlan,24.51998781,-104.7799974,7806.5,Mexico,MX,MEX,Durango
